World Bank income group,Year,Number of under-five deaths (thousands),Number of infant deaths (thousands),Number of neonatal deaths (thousands)
Upper-middle-income,2006,1022 [978-1077],817 [787-851],
Upper-middle-income,2005,1072 [1030-1125],858 [829-892],
Upper-middle-income,2004,1130 [1090-1180],905 [877-938],
Upper-middle-income,2003,1196 [1155-1244],957 [929-991],
Upper-middle-income,2002,1266 [1224-1314],1012 [983-1046],
Upper-middle-income,2001,1332 [1290-1383],1064 [1033-1099],
Upper-middle-income,2000,1392 [1349-1445],1107 [1076-1143],
Upper-middle-income,1999,1440 [1397-1495],1132 [1102-1169],
Upper-middle-income,1998,1475 [1431-1530],1146 [1116-1182],
Upper-middle-income,1997,1517 [1470-1572],1161 [1130-1197],
Upper-middle-income,1996,1593 [1541-1650],1202 [1169-1238],
Upper-middle-income,1995,1726 [1669-1789],1284 [1250-1324],
Upper-middle-income,1994,1909 [1842-1982],1430 [1388-1475],
Upper-middle-income,1993,2144 [2062-2234],1623 [1572-1682],
Upper-middle-income,1992,2395 [2296-2510],1841 [1775-1916],
Upper-middle-income,1991,2616 [2495-2759],2038 [1956-2137],
Upper-middle-income,1990,2766 [2630-2931],2188 [2090-2303],
High-income,2013,94 [89-101],79 [75-85],
High-income,2012,97 [93-104],82 [79-87],
High-income,2011,100 [97-106],84 [82-89],
High-income,2010,103 [100-108],87 [84-91],
High-income,2009,106 [103-111],90 [87-93],
High-income,2008,109 [106-113],92 [90-95],
High-income,2007,112 [109-115],94 [92-97],
High-income,2006,114 [112-117],97 [95-98],
High-income,2005,116 [115-119],99 [97-100],
High-income,2004,119 [117-121],101 [100-103],
High-income,2003,122 [121-124],103 [102-105],
High-income,2002,125 [124-128],106 [104-107],
High-income,2001,129 [127-131],108 [107-110],
High-income,2000,132 [130-134],111 [109-112],
High-income,1999,135 [133-137],113 [111-114],
High-income,1998,138 [136-141],114 [113-116],
High-income,1997,142 [140-145],117 [115-119],
High-income,1996,148 [145-151],122 [119-124],
High-income,1995,157 [154-160],128 [126-131],
High-income,1994,168 [164-172],137 [134-140],
High-income,1993,180 [176-184],147 [144-150],
High-income,1992,193 [188-198],158 [155-162],
High-income,1991,206 [201-211],169 [166-173],
High-income,1990,219 [214-225],180 [177-185],
Global,2013,6285 [6069-6686],4641 [4501-4869],2763
Global,2012,6469 [6270-6819],4757 [4632-4958],2816
Global,2011,6681 [6493-6988],4891 [4774-5065],2874
Global,2010,6933 [6757-7196],5034 [4929-5188],2936
Global,2009,7143 [6979-7370],5179 [5078-5309],3003
Global,2008,7397 [7241-7594],5331 [5240-5448],3072
Global,2007,7661 [7515-7840],5492 [5406-5596],3146
Global,2006,7934 [7798-8105],5665 [5582-5763],3221
Global,2005,8219 [8087-8381],5847 [5767-5940],3304
Global,2004,8525 [8394-8681],6037 [5959-6129],3392
Global,2003,8847 [8716-8999],6237 [6160-6328],3481
Global,2002,9169 [9036-9322],6442 [6362-6533],3567
Global,2001,9474 [9339-9629],6639 [6556-6730],3649
Global,2000,9745 [9610-9900],6817 [6735-6909],3721
Global,1999,9991 [9855-10152],6957 [6876-7053],3773
Global,1998,10209 [10071-10374],7072 [6989-7170],3812
Global,1997,10402 [10264-10571],7178 [7094-7277],3847
Global,1996,10622 [10481-10792],7305 [7221-7405],3897
Global,1995,10909 [10764-11080],7480 [7394-7581],3975
Global,1994,11250 [11104-11425],7721 [7633-7825],4095
Global,1993,11624 [11467-11808],8013 [7920-8125],4242
Global,1992,12028 [11863-12224],8334 [8231-8455],4405
Global,1991,12393 [12211-12606],8633 [8517-8769],4556
Global,1990,12670 [12479-12900],8880 [8753-9029],4672
