Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sept,Oct,Nov,Dec
1834,83,18,16,28,44,49,82,85,8,27,12,11
1835,14,48,46,42,50,33,22,24,97,64,36,15
1836,56,29,89,35,26,49,38,83,64,79,105,58
1837,39,83,18,78,79,56,46,48,62,26,69,21
1838,3,50,55,40,47,81,29,43,89,30,99,28
1839,54,65,31,26,34,116,31,26,99,62,62,53
1840,40,14,8,68,34,27,36,32,114,61,75,30
1841,14,25,41,39,46,48,99,43,41,74,60,71
1842,29,34,32,27,24,41,15,15,86,29,61,9
1843,76,80,4,58,61,57,60,49,26,51,79,10
1844,38,69,46,9,78,37,91,76,93,52,67,29
1845,51,38,32,50,58,82,48,50,76,35,75,78
1846,77,20,53,74,42,39,24,86,67,87,28,57
1847,47,37,22,45,31,27,114,48,28,38,28,33
1848,27,47,55,101,21,65,53,112,20,53,38,42
1849,54,18,31,62,67,87,74,28,85,47,65,48
1850,50,31,20,57,61,24,44,158,33,62,50,49
1851,42,21,77,75,36,13,87,28,29,46,44,18
1852,65,18,35,23,70,73,36,56,75,87,60,54
1853,81,18,29,70,50,46,47,72,33,55,12,10
1854,45,24,2,28,80,195,104,47,14,74,64,59
1855,29,37,45,9,90,52,41,39,12,61,28,22
1856,46,8,35,59,135,51,57,56,72,29,55,34
1857,69,17,27,62,62,81,15,69,82,63,12,20
1858,16,14,59,45,51,44,104,71,21,12,59,68
1859,31,19,20,56,43,79,34,28,84,117,50,80
1860,81,46,45,39,68,42,100,84,90,60,35,68
1861,7,30,58,31,35,84,117,10,47,18,56,27
1862,38,9,76,25,56,60,46,62,59,82,23,48
1863,49,10,31,12,33,51,27,25,64,93,52,49
1864,26,22,47,12,34,74,11,32,54,35,71,11
1865,72,51,38,13,79,19,72,29,58,65,72,13
1866,60,59,61,80,55,54,76,91,107,20,36,44
1867,47,44,78,64,84,43,79,62,44,35,20,30
1868,52,7,23,87,27,45,22,81,55,82,22,81
1869,36,8,63,35,114,27,43,12,55,33,64,43
1870,35,15,17,4,48,2,44,45,38,108,57,32
1871,18,38,21,65,37,126,79,47,66,39,10,17
1872,64,32,25,39,77,48,70,52,33,73,139,92
1873,41,64,44,48,49,130,46,45,59,79,38,6
1874,32,19,10,20,26,45,60,31,65,59,43,75
1875,67,8,8,10,22,79,74,72,38,66,76,20
1876,13,56,70,22,20,71,18,81,91,44,55,48
1877,80,52,80,68,82,23,71,43,48,46,60,54
1878,24,13,35,74,70,74,30,70,16,114,68,50
1879,43,45,26,77,39,48,65,53,31,24,12,10
1880,10,39,4,52,5,70,71,40,46,99,40,53
1881,59,25,40,49,34,39,33,57,91,27,31,26
1882,9,19,33,65,28,32,43,41,64,56,115,67
1883,53,29,14,23,35,43,60,34,73,71,58,21
1884,28,37,21,19,38,45,24,44,31,16,18,67
1885,15,41,44,45,32,74,11,31,52,104,51,44
1886,56,19,51,47,67,116,50,79,28,98,44,73
1887,19,2,18,37,73,30,73,55,33,42,49,48
1888,22,38,88,56,20,80,76,48,23,20,48,32
1889,30,62,29,57,85,41,36,47,24,67,32,33
1890,52,4,29,45,72,54,105,63,49,20,82,19
1891,24,4,76,50,57,69,57,27,35,45,45,62
1892,16,66,53,14,15,41,68,62,37,150,47,45
1893,55,55,6,0,46,42,76,17,41,83,42,55
1894,50,21,23,39,28,30,54,58,91,32,25,36
1895,41,3,32,31,50,37,59,49,0,58,58,51
1896,5,0,6,19,6,85,64,28,149,167,50,68
1897,46,38,77,71,36,67,38,85,48,2,18,53
1898,7,62,62,20,101,51,25,41,24,54,59,33
1899,81,14,15,70,39,49,44,32,75,28,20,67
1900,69,77,20,20,41,26,27,48,26,35,69,40
1901,33,28,72,63,75,39,53,19,62,35,9,60
1902,21,63,35,66,90,72,21,53,47,46,43,16
1903,47,13,42,41,62,33,77,77,53,98,42,32
1904,45,72,40,36,52,56,43,42,87,21,13,89
1905,24,29,74,40,87,123,37,74,77,34,115,21
1906,83,48,35,69,81,6,75,57,28,54,100,54
1907,14,37,23,65,108,29,25,21,18,104,30,50
1908,12,45,53,33,77,81,52,43,57,28,41,43
1909,41,11,73,22,38,99,71,47,51,106,21,80
1910,80,86,23,64,80,91,80,45,20,69,117,54
1911,13,17,32,28,49,59,18,9,29,78,57,112
1912,58,39,66,15,54,77,71,87,13,48,56,42
1913,74,24,52,70,93,20,64,45,34,50,66,75
1914,36,34,67,23,43,62,78,37,78,30,38,84
1915,64,51,24,53,42,49,63,62,60,28,62,138
1916,23,90,57,45,70,31,45,47,91,57,47,82
1917,33,27,75,68,24,67,111,53,19,78,33,27
1918,47,17,62,57,59,11,60,45,86,31,74,58
1919,82,89,74,73,19,10,75,32,30,42,93,92
1920,74,12,26,47,65,33,84,19,20,88,27,38
1921,22,3,18,22,35,1,16,56,16,15,31,34
1922,52,46,64,88,31,70,40,103,69,52,60,71
1923,34,66,50,46,66,30,47,18,57,114,45,109
1924,53,27,59,58,36,61,39,93,57,46,36,44
1925,31,68,59,57,51,27,97,97,18,63,69,89
1926,53,70,27,60,57,67,76,13,3,103,79,9
1927,85,47,68,40,68,98,116,66,50,21,45,53
1928,58,53,55,109,57,69,15,45,23,112,71,43
1929,11,23,0,29,30,27,49,14,11,89,77,100
1930,36,15,51,58,71,31,70,61,52,86,115,38
1931,60,44,29,64,124,44,103,162,19,46,63,36
1932,20,4,36,69,71,12,53,28,80,81,25,22
1933,29,27,36,13,91,44,36,15,48,64,42,18
1934,43,6,53,33,13,26,50,67,54,60,72,94
1935,38,73,28,62,36,103,8,64,44,21,51,107
1936,117,51,32,68,11,92,155,37,60,21,46,18
1937,86,96,79,65,106,38,31,9,70,64,16,89
1938,69,11,9,11,33,8,66,53,66,46,77,42
1939,92,48,39,50,44,63,44,77,47,67,70,28
1940,54,48,32,65,62,18,88,3,71,42,49,85
1941,86,105,45,64,59,95,59,89,16,23,54,35
1942,71,34,59,24,110,35,117,60,130,97,24,68
1943,76,23,10,25,61,38,22,110,54,29,59,34
1944,40,31,8,28,6,30,90,128,39,95,131,54
1945,67,36,19,28,50,22,17,50,44,25,18,46
1946,21,69,47,70,94,64,34,58,21,43,54,53
1947,50,40,75,31,49,72,50,77,13,19,58,77
1948,74,42,20,71,59,91,27,98,42,21,51,43
1949,24,14,18,22,41,33,6,27,80,56,53,25
1950,26,76,25,72,87,35,81,50,85,14,63,77
1951,42,65,59,47,124,92,30,143,48,29,64,38
1952,60,51,86,9,53,22,9,71,113,64,98,80
1953,17,32,0,50,23,86,79,44,40,24,18,9
1954,26,55,45,2,34,46,31,55,92,36,28,37
1955,89,75,16,8,70,58,162,19,46,53,23,55
1956,66,14,13,56,31,51,48,92,36,64,40,35
1957,21,91,22,20,26,75,67,52,86,25,26,37
1958,83,92,23,64,72,113,85,65,39,44,42,62
1959,96,1,42,70,28,21,16,14,5,45,45,70
1960,40,40,45,14,24,110,66,90,66,124,62,58
1961,62,35,4,49,57,37,50,5,60,72,62,48
1962,59,28,57,36,43,17,55,30,41,33,89,40
1963,14,23,64,46,50,85,25,107,29,20,91,5
1964,21,43,47,59,67,42,32,20,42,56,46,47
1965,91,7,80,58,76,37,97,99,119,15,106,94
1966,73,62,21,98,33,47,81,82,31,134,79,95
1967,25,42,28,37,83,11,48,41,67,92,61,56
1968,84,62,44,40,55,49,33,74,73,44,25,50
1969,37,31,49,54,80,70,29,73,38,8,82,67
1970,57,117,65,74,33,71,34,40,21,22,66,31
1971,66,30,31,40,85,62,54,53,5,13,62,7
1972,93,64,35,48,66,33,168,64,42,21,88,18
1973,24,40,4,47,89,59,52,29,81,56,49,49
1974,64,35,60,35,53,58,27,42,108,91,61,34
1975,69,22,65,30,101,30,46,47,144,22,72,11
1976,14,25,31,21,17,1,85,22,46,44,45,66
1977,60,89,37,44,71,74,109,46,9,59,71,49
1978,90,78,109,63,70,66,58,27,45,9,9,119
1979,29,71,116,57,49,71,11,62,24,85,47,107
1980,35,50,94,10,51,85,108,26,41,64,47,78
1981,57,38,56,25,109,62,45,22,41,153,31,107
1982,55,22,49,14,104,88,47,34,48,92,65,83
1983,46,58,37,105,70,70,63,21,70,18,27,38
1984,104,33,41,25,112,29,51,44,115,84,70,37
1985,32,14,66,58,60,46,71,32,31,11,59,21
1986,84,22,72,97,22,32,13,51,53,54,39,73
1987,28,36,49,29,64,101,62,117,12,104,62,42
1988,118,61,76,26,67,22,126,27,46,68,37,60
1989,25,48,72,106,14,57,34,35,71,26,32,77
1990,37,78,6,56,8,86,34,9,36,77,30,44
1991,54,15,62,34,18,46,47,22,46,33,66,26
1992,8,26,49,30,133,57,29,68,45,55,82,63
1993,51,14,8,137,46,52,49,3,77,116,29,82
1994,70,54,33,56,56,49,84,71,77,45,51,53
1995,115,66,68,56,78,14,115,37,63,14,11,34
1996,40,44,16,9,50,12,38,50,42,39,80,33
1997,4,79,9,15,99,143,29,61,3,59,72,94
1998,77,6,23,123,16,51,37,51,92,116,33,46
1999,51,38,42,79,74,57,43,65,84,39,27,146
2000,14,58,38,116,97,26,160,53,47,124,105,63
2001,65,40,128,67,26,39,204,54,70,60,44,41
2002,27,75,62,13,76,63,54,49,15,73,107,71
2003,43,21,20,34,62,24,43,44,15,62,48,41
2004,101,3,34,50,42,16,49,77,37,74,24,39
2005,44,27,48,57,46,54,34,31,31,21,27,28
2006,31,60,73,25,57,24,56,102,42,45,52,67
2007,28,79,41,5,102,53,74,159,18,42,29,60
2008,49,32,76,51,67,15,40,95,17,61,50,29
2009,46,38,31,42,71,,,,,,,
