Country,1950,1951,1952,1953,1954,1955, 1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Bulgaria,,,,,,,,,,,,,,46.7,45.7,44.9,44.4,43.9,42.7,40.8,38.8,37.3,36.3,35.6,34.9,34.3,33.5,32.5,31.3,30.0,28.7,27.6,26.6,25.7,24.7,23.6,22.5,21.7,21.3,21.5,22.1,22.6,22.9,23.1,23.1,23.1,23.1,23.1,22.8,22.0,21.0,20.1,19.2,18.1,17.0,15.9,15.0,14.2,13.7,13.3,13.0,12.6,12.0,11.5,10.9,10.4
Burkina Faso,389.7,387.0,384.1,380.4,376.5,372.3,367.5,363.1,358.0,352.3,347.6,343.1,338.7,334.5,331.0,328.0,325.2,322.9,321.4,320.1,319.1,317.3,313.9,307.9,299.2,288.5,277.0,265.7,255.8,247.8,241.2,236.1,231.8,227.8,223.7,219.2,214.4,209.6,205.8,203.4,202.2,201.8,202.1,202.0,201.1,199.4,197.0,194.0,191.3,188.5,185.7,182.4,178.3,173.1,166.3,158.3,149.4,139.9,130.4,121.4,113.5,106.9,101.4,96.6,92.4,88.6
Burundi,,,,,,,,,,,,,,,241.6,243.0,244.5,245.8,246.7,247.3,247.6,247.5,247.3,247.1,246.9,246.5,245.0,242.0,236.9,230.2,221.8,212.3,202.3,192.6,184.2,177.5,172.9,170.6,170.1,170.7,171.8,172.9,173.5,173.5,172.5,170.5,167.7,164.4,160.5,156.4,152.2,147.8,143.2,138.3,133.0,127.1,120.9,114.5,108.6,103.5,98.8,94.9,91.2,87.8,84.6,81.7
Cabo Verde,,,,,,,,,,,,,,,,,,,,179.2,164.5,151.1,138.8,127.8,118.0,109.4,102.2,96.1,91.3,87.7,85.3,83.7,82.6,81.6,80.2,78.1,75.2,71.8,68.3,65.1,62.7,61.0,60.0,59.2,58.1,56.1,53.0,49.0,44.3,39.6,35.5,32.2,29.9,28.5,27.8,27.7,27.9,28.1,28.2,28.1,27.8,27.3,26.6,25.9,25.2,24.5
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,310.0,285.6,261.9,235.9,207.8,181.4,159.1,142.0,130.4,124.1,121.2,119.6,118.4,117.6,117.4,117.3,117.4,117.8,118.6,120.0,121.5,122.6,122.5,120.4,115.7,108.3,98.7,88.3,78.8,71.3,65.4,60.4,55.8,51.5,47.3,43.1,39.3,35.8,32.9,30.6,28.7
Cameroon,,,,,,334.9,322.1,310.3,299.0,289.3,281.6,275.7,271.1,267.2,262.8,257.3,250.4,242.0,232.3,222.5,213.0,204.7,198.4,194.3,192.0,191.1,190.9,190.4,188.7,185.8,181.6,176.3,170.1,163.4,156.6,150.2,144.7,140.7,138.1,137.2,138.0,140.0,142.8,146.0,149.0,151.8,154.0,155.3,155.3,153.8,150.4,145.7,140.2,134.7,129.6,125.1,120.7,116.6,112.8,109.0,104.8,101.0,97.4,93.9,90.6,87.9
Canada,48.7,46.2,43.9,41.8,39.9,38.3,37.0,35.8,34.7,33.7,32.6,31.6,30.5,29.4,28.2,27.1,26.0,25.0,23.9,23.0,22.0,21.0,19.9,19.0,18.0,17.0,16.0,15.1,14.2,13.3,12.5,11.8,11.2,10.6,10.1,9.7,9.4,9.1,8.8,8.6,8.3,8.0,7.7,7.4,7.2,6.9,6.7,6.5,6.4,6.3,6.2,6.2,6.2,6.1,6.1,6.1,6.0,5.9,5.8,5.7,5.6,5.4,5.3,5.2,5.0,4.9
Central African Republic,,,,,,,,,,,283.7,278.1,272.6,266.5,260.4,253.9,247.1,240.7,234.2,228.2,222.5,217.1,212.1,207.5,203.3,199.3,195.7,192.3,189.0,186.1,183.5,181.5,180.0,178.9,178.2,177.8,177.4,177.2,177.0,176.8,176.5,176.2,176.0,176.1,176.4,176.7,177.0,176.9,176.5,175.7,174.8,173.5,171.9,170.3,168.4,166.2,163.9,161.3,158.2,154.2,150.2,146.2,142.1,138.5,134.0,130.1
Chad,,,,,,,,,,,,,,,,,,,,,,,252.3,251.0,249.5,248.1,246.7,245.3,243.7,242.0,240.1,238.1,236.0,233.5,230.9,228.2,225.5,222.8,220.1,217.3,214.6,212.0,209.4,207.0,204.8,202.7,200.6,198.3,195.8,193.0,190.2,187.3,184.6,181.9,179.4,177.0,174.6,171.5,168.0,164.0,160.1,156.0,151.6,147.1,142.9,138.7
Chile,,,,,,,,,,169.1,157.3,148.5,142.3,135.8,126.8,115.9,104.5,94.1,86.2,81.7,79.6,78.4,77.0,74.6,70.6,64.7,57.1,48.8,41.7,36.8,33.2,30.1,27.0,24.6,23.1,22.4,22.1,21.9,21.4,20.4,19.1,17.7,16.4,15.1,14.0,13.1,12.5,12.2,12.0,11.5,10.9,10.3,9.8,9.5,9.3,9.1,9.0,8.9,8.9,8.8,8.8,8.7,8.6,8.4,8.3,8.1
China,,,,,,,,,,,,,,,,,,,,119.1,113.3,107.7,102.1,96.5,90.9,85.2,79.8,74.6,70.0,65.9,62.4,59.6,57.4,55.7,54.6,54.0,53.7,53.7,53.9,54.0,53.8,53.3,52.4,51.0,49.3,47.5,45.6,43.6,41.5,39.3,36.9,34.3,31.6,28.9,26.3,24.0,21.9,20.1,18.5,17.0,15.7,14.5,13.4,12.3,11.4,10.7
Colombia,,,,,,,,,,130.0,127.3,124.6,122.0,119.4,116.7,114.0,111.1,108.0,104.6,101.1,97.6,94.0,90.4,86.7,82.8,78.7,74.3,69.9,65.5,61.3,57.4,53.7,50.3,47.3,44.6,42.3,40.3,38.7,37.4,36.2,35.1,34.1,33.1,32.1,31.0,30.0,28.9,27.9,26.9,26.0,25.1,24.3,23.6,22.9,22.2,21.5,20.9,20.3,19.7,19.1,18.5,18.0,17.4,16.9,16.4,15.9
Comoros,,,,,,,,,,,,,,,,,,,,,227.1,221.8,217.1,212.4,207.7,202.7,197.7,192.3,186.8,181.1,175.3,169.4,163.6,157.9,152.4,147.2,142.2,137.6,133.2,129.1,125.1,121.2,117.2,113.6,110.5,107.8,105.6,104.0,102.7,101.8,101.1,100.8,100.8,100.4,99.4,97.8,95.7,93.5,91.2,88.5,86.0,83.3,80.9,78.3,75.9,73.5
Congo,,,,,,,,,191.8,188.3,184.4,180.2,176.0,172.3,168.3,163.9,159.4,155.0,150.9,147.0,143.1,139.5,135.7,132.2,129.3,126.3,123.3,120.5,117.7,114.7,111.9,109.1,106.2,103.2,100.2,97.5,95.3,93.7,92.8,92.8,93.6,95.2,97.4,100.2,103.8,107.7,111.9,116.0,119.3,121.4,121.6,119.7,115.6,109.8,102.9,95.3,87.4,79.9,72.6,66.1,60.6,56.1,52.6,49.6,47.1,45.0
Cook Islands,,193.1,182.8,173.0,163.7,154.5,145.8,137.1,128.5,120.3,112.2,104.5,96.9,89.8,83.1,76.9,71.0,65.4,60.4,55.8,51.7,48.1,44.9,42.3,40.1,38.3,36.8,35.5,34.3,33.2,32.1,31.1,30.1,29.1,28.2,27.3,26.5,25.8,25.3,24.8,24.4,24.0,23.6,23.2,22.6,21.8,20.9,19.8,18.7,17.7,16.8,16.0,15.2,14.4,13.7,13.0,12.2,11.6,10.9,10.3,9.9,9.4,9.1,8.7,8.4,8.1
Costa Rica,,,,,,,,,,,,,,,,88.8,85.0,82.3,80.4,78.8,76.4,71.8,64.9,57.8,51.8,46.3,40.3,34.0,28.9,25.6,23.8,23.1,22.9,22.8,22.4,21.6,20.5,19.3,18.3,17.5,16.9,16.5,16.1,15.8,15.5,15.2,15.0,14.8,14.4,13.8,13.0,12.2,11.6,11.0,10.7,10.4,10.3,10.3,10.3,10.2,10.2,10.1,10.1,10.0,9.9,9.7
Cote d'Ivoire,,,,,,,,335.5,327.3,319.2,311.2,303.4,295.7,288.6,281.4,274.6,267.9,261.2,254.8,248.1,241.4,234.4,226.8,218.6,210.0,201.1,192.5,184.5,177.4,171.4,166.6,162.8,159.7,157.3,155.5,154.2,153.3,152.8,152.5,152.5,152.6,152.7,152.7,152.8,152.9,152.7,152.2,151.3,149.8,147.9,145.6,142.8,139.7,136.3,132.7,128.8,125.1,121.1,116.5,112.7,109.1,105.9,102.5,99.0,95.5,92.6
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.9,21.0,20.0,19.1,18.0,17.0,15.8,14.8,13.8,12.9,12.1,11.4,10.9,10.4,10.0,9.6,9.3,8.9,8.6,8.3,8.0,7.7,7.4,7.1,6.8,6.5,6.2,5.9,5.6,5.4,5.1,4.9,4.7,4.5,4.3
Cuba,,,,,,,,,,,,,,47.0,45.9,45.0,44.6,44.6,44.9,45.0,43.6,39.9,35.4,32.2,30.7,29.4,27.2,24.5,22.3,20.9,20.2,19.8,19.7,19.5,19.1,18.5,17.5,16.3,15.2,14.2,13.3,12.4,11.6,11.1,11.0,10.8,10.5,10.0,9.4,8.8,8.4,8.0,7.7,7.4,7.1,6.8,6.6,6.4,6.3,6.2,6.1,6.0,5.8,5.7,5.6,5.5
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.5,20.8,19.2,17.6,16.1,14.7,13.5,12.5,11.9,11.5,11.3,11.1,10.8,10.5,10.1,9.6,9.0,8.5,8.0,7.5,7.0,6.6,6.1,5.8,5.4,5.1,4.8,4.6,4.3,4.1,3.8,3.6,3.4,3.2,3.0,2.9,2.7
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.4,18.0,17.6,17.3,17.0,16.6,16.1,15.6,15.1,14.6,13.9,13.2,12.3,11.2,10.2,9.2,8.4,7.6,7.1,6.6,6.2,6.0,5.7,5.5,5.2,5.0,4.7,4.5,4.3,4.1,3.9,3.8,3.7,3.5,3.4
Democratic People's Republic of Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.1,34.7,35.2,36.8,39.5,43.4,48.6,54.8,61.3,67.7,72.8,75.7,75.7,72.9,67.4,60.0,52.0,44.6,38.7,34.7,32.7,32.2,32.4,32.4,32.1,31.3,30.1,28.7,27.4,26.1,24.9
Democratic Republic of the Congo,,,,,,,,,,,,,,,,,,,,251.7,248.1,244.8,241.4,237.7,234.2,230.3,226.4,222.7,219.0,215.4,212.0,208.8,205.7,202.8,200.1,197.7,195.3,193.0,190.8,188.5,186.5,184.3,182.3,180.3,178.3,176.4,174.1,171.5,168.4,164.9,161.0,156.8,152.4,147.8,143.2,138.4,133.5,128.9,124.5,120.1,116.1,112.2,108.5,104.8,101.7,98.3
Denmark,34.1,33.4,32.6,31.6,30.5,29.3,28.1,27.1,26.2,25.5,25.0,24.5,23.8,23.0,22.1,21.1,20.1,19.1,18.1,17.4,16.6,15.8,14.9,13.9,13.1,12.3,11.6,11.1,10.6,10.3,10.0,9.7,9.6,9.6,9.6,9.7,9.7,9.7,9.6,9.3,8.9,8.4,7.9,7.4,6.9,6.5,6.2,6.0,5.8,5.7,5.6,5.5,5.4,5.3,5.1,4.9,4.7,4.5,4.3,4.2,4.0,3.9,3.8,3.7,3.6,3.5
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,174.3,169.4,164.7,160.1,155.8,151.7,147.4,143.3,139.3,135.3,131.7,128.3,125.1,122.0,119.4,117.0,115.0,113.2,111.5,110.2,108.5,106.8,104.9,102.9,100.8,98.4,96.0,93.5,91.0,88.5,86.0,83.5,81.0,78.5,76.1,73.9,71.7,69.5,67.4,65.3
Dominica,,,,,,,,,,,139.0,127.2,116.5,107.2,98.9,91.8,85.5,79.9,74.7,69.5,63.9,57.9,51.7,45.5,39.7,34.5,30.1,26.5,23.6,21.4,19.8,18.6,17.9,17.4,17.2,17.0,17.0,17.0,17.0,17.1,17.1,17.1,17.0,16.9,16.7,16.5,16.3,16.0,15.8,15.5,15.3,15.2,15.1,15.1,15.3,15.6,16.0,16.5,17.1,17.9,18.8,19.6,20.4,21.0,21.2,21.2
Dominican Republic,156.0,155.5,155.0,154.5,153.9,153.3,152.5,151.6,150.5,149.3,147.8,145.9,143.7,141.3,138.6,135.8,132.9,130.1,127.3,124.5,121.6,118.5,115.2,111.7,108.2,104.5,100.9,97.4,94.0,90.7,87.5,84.3,81.3,78.3,75.5,72.7,70.1,67.5,65.0,62.6,60.2,57.9,55.6,53.4,51.2,49.2,47.3,45.5,43.9,42.5,41.3,40.1,39.1,38.3,37.5,36.8,36.1,35.5,34.9,34.3,33.8,33.3,32.7,32.2,31.5,30.9
Ecuador,,,,,,207.8,201.7,195.8,190.1,184.5,179.2,174.1,169.2,164.3,159.9,155.6,151.8,148.2,144.9,141.4,138.0,134.3,130.3,126.0,121.3,116.6,111.8,107.2,102.6,98.3,93.9,89.5,85.0,80.7,76.6,72.7,69.1,65.7,62.6,59.7,56.9,54.1,51.5,48.8,46.3,43.9,41.6,39.6,37.7,35.9,34.4,33.1,31.9,30.9,30.0,29.1,28.3,27.5,26.8,26.0,25.2,24.5,23.7,23.0,22.3,21.6
Egypt,,,,,,360.5,350.8,341.3,331.7,322.2,312.8,302.9,293.1,283.5,274.8,266.9,260.3,254.8,250.2,246.4,242.9,239.4,235.2,229.7,222.9,214.7,205.7,196.2,186.6,177.0,167.6,158.1,148.4,138.5,128.5,118.8,110.1,102.5,96.0,90.6,85.9,81.7,77.5,73.3,68.9,64.6,60.4,56.5,52.8,49.5,46.5,43.8,41.4,39.2,37.3,35.6,34.1,32.7,31.4,30.2,29.0,27.9,26.8,25.8,24.8,24.0
El Salvador,,,,,,208.3,204.0,199.5,195.1,191.0,186.9,183.3,179.6,176.0,172.7,169.5,166.4,163.5,160.7,158.0,155.1,152.1,148.9,145.5,141.7,137.4,132.7,127.8,122.4,116.7,110.7,104.5,98.2,92.0,86.0,80.4,75.2,70.6,66.5,62.8,59.4,56.3,53.2,50.3,47.4,44.5,41.7,39.1,36.6,34.4,32.4,30.6,29.0,27.5,26.1,24.8,23.6,22.6,21.6,20.8,20.0,19.3,18.6,18.0,17.4,16.8
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.5,213.1,209.1,205.1,201.4,197.5,193.6,189.5,185.8,182.0,178.3,174.6,171.2,167.6,163.9,160.1,156.1,152.1,147.9,143.8,139.6,135.4,131.2,126.9,122.7,118.4,114.6,110.9,107.3,103.7,100.3,97.4,94.1
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,213.1,208.8,204.7,200.8,197.1,193.9,191.0,188.2,185.3,182.3,179.1,175.7,171.8,167.5,162.7,157.3,151.4,145.0,138.2,131.2,124.1,117.3,110.8,104.8,99.2,94.0,89.1,84.6,80.4,76.5,72.9,69.5,66.3,63.2,60.4,57.9,55.6,53.5,51.6,49.7,48.1,46.5
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.1,26.2,25.3,24.5,23.8,23.1,22.6,22.0,21.5,20.9,20.2,19.5,18.6,17.8,16.8,15.8,14.8,13.8,12.8,11.9,11.0,10.2,9.4,8.6,7.9,7.3,6.7,6.1,5.5,5.1,4.6,4.2,3.8,3.5,3.2,2.9
Ethiopia,,,,,,,,,,,,,,,,,242.0,241.5,241.0,241.2,241.1,241.2,241.1,241.0,241.0,241.5,242.1,242.7,243.0,242.8,241.6,239.3,236.0,232.0,227.6,223.4,219.3,215.5,212.0,208.4,204.6,200.2,195.0,188.9,182.0,175.0,168.3,162.0,156.2,150.8,145.1,139.0,132.2,124.8,117.0,109.1,101.3,93.8,86.9,80.8,75.7,71.3,67.7,64.6,61.8,59.2
Fiji,135.7,125.9,116.9,108.7,101.3,94.8,89.0,83.7,79.2,75.2,71.8,68.7,66.0,63.8,61.7,60.0,58.5,57.3,56.4,55.8,55.3,54.9,54.6,54.2,53.6,52.8,51.6,50.0,48.2,46.1,44.0,42.0,40.0,38.3,36.8,35.4,34.1,33.0,31.8,30.8,29.8,28.8,28.0,27.2,26.6,26.2,25.8,25.4,25.1,24.8,24.5,24.2,23.9,23.7,23.7,23.7,23.8,23.9,24.0,24.0,23.9,23.7,23.5,23.2,22.9,22.4
