Code,ISO3,LongName,IncomeGroup,Region,ShortName
CAN,CAN,Canada,High income: OECD,North America,Canada
CYM,CYM,Cayman Islands,High income: nonOECD,Latin America & Caribbean,Cayman Islands
CAF,CAF,Central African Republic,Low income,Sub-Saharan Africa,Central African Republic
TCD,TCD,Republic of Chad,Low income,Sub-Saharan Africa,Chad
CHI,CHI,Channel Islands,High income: nonOECD,Europe & Central Asia,Channel Islands
CHL,CHL,Republic of Chile,High income: OECD,Latin America & Caribbean,Chile
CHN,CHN,People's Republic of China,Upper middle income,East Asia & Pacific,China
COL,COL,Republic of Colombia,Upper middle income,Latin America & Caribbean,Colombia
COM,COM,Union of the Comoros,Low income,Sub-Saharan Africa,Comoros
ZAR,COD,Democratic Republic of the Congo,Low income,Sub-Saharan Africa,Dem. Rep. Congo
COG,COG,Republic of Congo,Lower middle income,Sub-Saharan Africa,Congo
CRI,CRI,Republic of Costa Rica,Upper middle income,Latin America & Caribbean,Costa Rica
CIV,CIV,Republic of C™te d'Ivoire,Lower middle income,Sub-Saharan Africa,C™te d'Ivoire
HRV,HRV,Republic of Croatia,High income: nonOECD,Europe & Central Asia,Croatia
CUB,CUB,Republic of Cuba,Upper middle income,Latin America & Caribbean,Cuba
CUW,CUW,Curaçao,High income: nonOECD,Latin America & Caribbean,Curaçao
CYP,CYP,Republic of Cyprus,High income: nonOECD,Europe & Central Asia,Cyprus
CZE,CZE,Czech Republic,High income: OECD,Europe & Central Asia,Czech Republic
DNK,DNK,Kingdom of Denmark,High income: OECD,Europe & Central Asia,Denmark
DJI,DJI,Republic of Djibouti,Lower middle income,Middle East & North Africa,Djibouti
DMA,DMA,Commonwealth of Dominica,Upper middle income,Latin America & Caribbean,Dominica
DOM,DOM,Dominican Republic,Upper middle income,Latin America & Caribbean,Dominican Republic
ECU,ECU,Republic of Ecuador,Upper middle income,Latin America & Caribbean,Ecuador
EGY,EGY,Arab Republic of Egypt,Lower middle income,Middle East & North Africa,Egypt
SLV,SLV,Republic of El Salvador,Lower middle income,Latin America & Caribbean,El Salvador
GNQ,GNQ,Republic of Equatorial Guinea,High income: nonOECD,Sub-Saharan Africa,Equatorial Guinea
ERI,ERI,State of Eritrea,Low income,Sub-Saharan Africa,Eritrea
EST,EST,Republic of Estonia,High income: OECD,Europe & Central Asia,Estonia
ETH,ETH,Federal Democratic Republic of Ethiopia,Low income,Sub-Saharan Africa,Ethiopia
FRO,FRO,Faeroe Islands,High income: nonOECD,Europe & Central Asia,Faeroe Islands
FJI,FJI,Republic of Fiji,Upper middle income,East Asia & Pacific,Fiji
FIN,FIN,Republic of Finland,High income: OECD,Europe & Central Asia,Finland
FRA,FRA,French Republic,High income: OECD,Europe & Central Asia,France
PYF,PYF,French Polynesia,High income: nonOECD,East Asia & Pacific,French Polynesia
GAB,GAB,Gabonese Republic,Upper middle income,Sub-Saharan Africa,Gabon
GMB,GMB,Republic of The Gambia,Low income,Sub-Saharan Africa,The Gambia
GEO,GEO,Georgia,Lower middle income,Europe & Central Asia,Georgia
DEU,DEU,Federal Republic of Germany,High income: OECD,Europe & Central Asia,Germany
GHA,GHA,Republic of Ghana,Lower middle income,Sub-Saharan Africa,Ghana
GRC,GRC,Hellenic Republic,High income: OECD,Europe & Central Asia,Greece
GRL,GRL,Greenland,High income: nonOECD,Europe & Central Asia,Greenland
GRD,GRD,Grenada,Upper middle income,Latin America & Caribbean,Grenada
GUM,GUM,Guam,High income: nonOECD,East Asia & Pacific,Guam
GTM,GTM,Republic of Guatemala,Lower middle income,Latin America & Caribbean,Guatemala
GIN,GIN,Republic of Guinea,Low income,Sub-Saharan Africa,Guinea
GNB,GNB,Republic of Guinea-Bissau,Low income,Sub-Saharan Africa,Guinea-Bissau
GUY,GUY,Co-operative Republic of Guyana,Lower middle income,Latin America & Caribbean,Guyana
HTI,HTI,Republic of Haiti,Low income,Latin America & Caribbean,Haiti
HND,HND,Republic of Honduras,Lower middle income,Latin America & Caribbean,Honduras
HKG,HKG,Hong Kong Special Administrative Region of the People's Republic of China,High income: nonOECD,East Asia & Pacific,"Hong Kong SAR, China"
HUN,HUN,Hungary,High income: OECD,Europe & Central Asia,Hungary
ISL,ISL,Republic of Iceland,High income: OECD,Europe & Central Asia,Iceland
IND,IND,Republic of India,Lower middle income,South Asia,India
IDN,IDN,Republic of Indonesia,Lower middle income,East Asia & Pacific,Indonesia
IRN,IRN,Islamic Republic of Iran,Upper middle income,Middle East & North Africa,Iran
IRQ,IRQ,Republic of Iraq,Upper middle income,Middle East & North Africa,Iraq
IRL,IRL,Ireland,High income: OECD,Europe & Central Asia,Ireland
IMY,IMN,Isle of Man,High income: nonOECD,Europe & Central Asia,Isle of Man
ISR,ISR,State of Israel,High income: OECD,Middle East & North Africa,Israel
ITA,ITA,Italian Republic,High income: OECD,Europe & Central Asia,Italy
JAM,JAM,Jamaica,Upper middle income,Latin America & Caribbean,Jamaica
JPN,JPN,Japan,High income: OECD,East Asia & Pacific,Japan
JOR,JOR,Hashemite Kingdom of Jordan,Upper middle income,Middle East & North Africa,Jordan
KAZ,KAZ,Republic of Kazakhstan,Upper middle income,Europe & Central Asia,Kazakhstan
KEN,KEN,Republic of Kenya,Lower middle income,Sub-Saharan Africa,Kenya
KIR,KIR,Republic of Kiribati,Lower middle income,East Asia & Pacific,Kiribati
PRK,PRK,Democratic People's Republic of Korea,Low income,East Asia & Pacific,Dem. People's Rep. Korea
KOR,KOR,Republic of Korea,High income: OECD,East Asia & Pacific,Korea
KSV,KSV,Republic of Kosovo,Lower middle income,Europe & Central Asia,Kosovo
KWT,KWT,State of Kuwait,High income: nonOECD,Middle East & North Africa,Kuwait
KGZ,KGZ,Kyrgyz Republic,Lower middle income,Europe & Central Asia,Kyrgyz Republic
LAO,LAO,Lao People's Democratic Republic,Lower middle income,East Asia & Pacific,Lao PDR
LVA,LVA,Republic of Latvia,High income: nonOECD,Europe & Central Asia,Latvia
LBN,LBN,Lebanese Republic,Upper middle income,Middle East & North Africa,Lebanon
LSO,LSO,Kingdom of Lesotho,Lower middle income,Sub-Saharan Africa,Lesotho
LBR,LBR,Republic of Liberia,Low income,Sub-Saharan Africa,Liberia
LBY,LBY,Socialist People's Libyan Arab Jamahiriya,Upper middle income,Middle East & North Africa,Libya
LIE,LIE,Principality of Liechtenstein,High income: nonOECD,Europe & Central Asia,Liechtenstein
LTU,LTU,Republic of Lithuania,High income: nonOECD,Europe & Central Asia,Lithuania
LUX,LUX,Grand Duchy of Luxembourg,High income: OECD,Europe & Central Asia,Luxembourg
MAC,MAC,Macao Special Administrative Region of the People's Republic of China,High income: nonOECD,East Asia & Pacific,"Macao SAR, China"
MKD,MKD,Former Yugoslav Republic of Macedonia,Upper middle income,Europe & Central Asia,Macedonia
MDG,MDG,Republic of Madagascar,Low income,Sub-Saharan Africa,Madagascar
MWI,MWI,Republic of Malawi,Low income,Sub-Saharan Africa,Malawi
MYS,MYS,Malaysia,Upper middle income,East Asia & Pacific,Malaysia
MDV,MDV,Republic of Maldives,Upper middle income,South Asia,Maldives
MLI,MLI,Republic of Mali,Low income,Sub-Saharan Africa,Mali
MLT,MLT,Republic of Malta,High income: nonOECD,Middle East & North Africa,Malta
MHL,MHL,Republic of the Marshall Islands,Upper middle income,East Asia & Pacific,Marshall Islands
MRT,MRT,Islamic Republic of Mauritania,Lower middle income,Sub-Saharan Africa,Mauritania
MUS,MUS,Republic of Mauritius,Upper middle income,Sub-Saharan Africa,Mauritius
MEX,MEX,United Mexican States,Upper middle income,Latin America & Caribbean,Mexico
FSM,FSM,Federated States of Micronesia,Lower middle income,East Asia & Pacific,Micronesia
MDA,MDA,Republic of Moldova,Lower middle income,Europe & Central Asia,Moldova
MCO,MCO,Principality of Monaco,High income: nonOECD,Europe & Central Asia,Monaco
MNG,MNG,Mongolia,Upper middle income,East Asia & Pacific,Mongolia
MNE,MNE,Montenegro,Upper middle income,Europe & Central Asia,Montenegro
MAR,MAR,Kingdom of Morocco,Lower middle income,Middle East & North Africa,Morocco
MOZ,MOZ,Republic of Mozambique,Low income,Sub-Saharan Africa,Mozambique
MMR,MMR,Republic of the Union of Myanmar,Lower middle income,East Asia & Pacific,Myanmar
NAM,NAM,Republic of Namibia,Upper middle income,Sub-Saharan Africa,Namibia
NPL,NPL,Nepal,Low income,South Asia,Nepal
NLD,NLD,Kingdom of the Netherlands,High income: OECD,Europe & Central Asia,Netherlands
NCL,NCL,New Caledonia,High income: nonOECD,East Asia & Pacific,New Caledonia
NZL,NZL,New Zealand,High income: OECD,East Asia & Pacific,New Zealand
NIC,NIC,Republic of Nicaragua,Lower middle income,Latin America & Caribbean,Nicaragua
NER,NER,Republic of Niger,Low income,Sub-Saharan Africa,Niger
NGA,NGA,Federal Republic of Nigeria,Lower middle income,Sub-Saharan Africa,Nigeria
MNP,MNP,Commonwealth of the Northern Mariana Islands,High income: nonOECD,East Asia & Pacific,Northern Mariana Islands
NOR,NOR,Kingdom of Norway,High income: OECD,Europe & Central Asia,Norway
OMN,OMN,Sultanate of Oman,High income: nonOECD,Middle East & North Africa,Oman
PAK,PAK,Islamic Republic of Pakistan,Lower middle income,South Asia,Pakistan
PLW,PLW,Republic of Palau,Upper middle income,East Asia & Pacific,Palau
PAN,PAN,Republic of Panama,Upper middle income,Latin America & Caribbean,Panama
PNG,PNG,The Independent State of Papua New Guinea,Lower middle income,East Asia & Pacific,Papua New Guinea
PRY,PRY,Republic of Paraguay,Upper middle income,Latin America & Caribbean,Paraguay
PER,PER,Republic of Peru,Upper middle income,Latin America & Caribbean,Peru
PHL,PHL,Republic of the Philippines,Lower middle income,East Asia & Pacific,Philippines
POL,POL,Republic of Poland,High income: OECD,Europe & Central Asia,Poland
PRT,PRT,Portuguese Republic,High income: OECD,Europe & Central Asia,Portugal
PRI,PRI,Puerto Rico,High income: nonOECD,Latin America & Caribbean,Puerto Rico
QAT,QAT,State of Qatar,High income: nonOECD,Middle East & North Africa,Qatar
ROM,ROU,Romania,Upper middle income,Europe & Central Asia,Romania
RUS,RUS,Russian Federation,High income: nonOECD,Europe & Central Asia,Russia
RWA,RWA,Republic of Rwanda,Low income,Sub-Saharan Africa,Rwanda
WSM,WSM,Samoa,Lower middle income,East Asia & Pacific,Samoa
SMR,SMR,Republic of San Marino,High income: nonOECD,Europe & Central Asia,San Marino
STP,STP,Democratic Republic of S‹o Tom_ and Principe,Lower middle income,Sub-Saharan Africa,S‹o Tom_ and Principe
SAU,SAU,Kingdom of Saudi Arabia,High income: nonOECD,Middle East & North Africa,Saudi Arabia
SEN,SEN,Republic of Senegal,Lower middle income,Sub-Saharan Africa,Senegal
SRB,SRB,Republic of Serbia,Upper middle income,Europe & Central Asia,Serbia
SYC,SYC,Republic of Seychelles,High income: nonOECD,Sub-Saharan Africa,Seychelles
SLE,SLE,Republic of Sierra Leone,Low income,Sub-Saharan Africa,Sierra Leone
SGP,SGP,Republic of Singapore,High income: nonOECD,East Asia & Pacific,Singapore
SXM,SXM,Sint Maarten (Dutch part),High income: nonOECD,Latin America & Caribbean,Sint Maarten (Dutch part)
SVK,SVK,Slovak Republic,High income: OECD,Europe & Central Asia,Slovak Republic
SVN,SVN,Republic of Slovenia,High income: OECD,Europe & Central Asia,Slovenia
SLB,SLB,Solomon Islands,Lower middle income,East Asia & Pacific,Solomon Islands
SOM,SOM,Somali Democratic Republic,Low income,Sub-Saharan Africa,Somalia
ZAF,ZAF,Republic of South Africa,Upper middle income,Sub-Saharan Africa,South Africa
SSD,SSD,Republic of South Sudan,Low income,Sub-Saharan Africa,South Sudan
ESP,ESP,Kingdom of Spain,High income: OECD,Europe & Central Asia,Spain
LKA,LKA,Democratic Socialist Republic of Sri Lanka,Lower middle income,South Asia,Sri Lanka
KNA,KNA,St. Kitts and Nevis,High income: nonOECD,Latin America & Caribbean,St. Kitts and Nevis
LCA,LCA,St. Lucia,Upper middle income,Latin America & Caribbean,St. Lucia
MAF,MAF,St. Martin (French part),High income: nonOECD,Latin America & Caribbean,St. Martin (French part)
VCT,VCT,St. Vincent and the Grenadines,Upper middle income,Latin America & Caribbean,St. Vincent and the Grenadines
SDN,SDN,Republic of the Sudan,Lower middle income,Sub-Saharan Africa,Sudan
SUR,SUR,Republic of Suriname,Upper middle income,Latin America & Caribbean,Suriname
SWZ,SWZ,Kingdom of Swaziland,Lower middle income,Sub-Saharan Africa,Swaziland
SWE,SWE,Kingdom of Sweden,High income: OECD,Europe & Central Asia,Sweden
CHE,CHE,Switzerland,High income: OECD,Europe & Central Asia,Switzerland
SYR,SYR,Syrian Arab Republic,Lower middle income,Middle East & North Africa,Syrian Arab Republic
TWN,TWN,"Taiwan, China",High income: nonOECD,East Asia & Pacific,"Taiwan, China"
TJK,TJK,Republic of Tajikistan,Lower middle income,Europe & Central Asia,Tajikistan
TZA,TZA,United Republic of Tanzania,Low income,Sub-Saharan Africa,Tanzania
THA,THA,Kingdom of Thailand,Upper middle income,East Asia & Pacific,Thailand
TMP,TLS,Democratic Republic of Timor-Leste,Lower middle income,East Asia & Pacific,Timor-Leste
TGO,TGO,Republic of Togo,Low income,Sub-Saharan Africa,Togo
TON,TON,Kingdom of Tonga,Upper middle income,East Asia & Pacific,Tonga
TTO,TTO,Republic of Trinidad and Tobago,High income: nonOECD,Latin America & Caribbean,Trinidad and Tobago
TUN,TUN,Republic of Tunisia,Upper middle income,Middle East & North Africa,Tunisia
TUR,TUR,Republic of Turkey,Upper middle income,Europe & Central Asia,Turkey
TKM,TKM,Turkmenistan,Upper middle income,Europe & Central Asia,Turkmenistan
TCA,TCA,Turks and Caicos Islands,High income: nonOECD,Latin America & Caribbean,Turks and Caicos Islands
TUV,TUV,Tuvalu,Upper middle income,East Asia & Pacific,Tuvalu
UGA,UGA,Republic of Uganda,Low income,Sub-Saharan Africa,Uganda
UKR,UKR,Ukraine,Lower middle income,Europe & Central Asia,Ukraine
ARE,ARE,United Arab Emirates,High income: nonOECD,Middle East & North Africa,United Arab Emirates
GBR,GBR,United Kingdom of Great Britain and Northern Ireland,High income: OECD,Europe & Central Asia,United Kingdom
USA,USA,United States of America,High income: OECD,North America,United States
URY,URY,Oriental Republic of Uruguay,High income: nonOECD,Latin America & Caribbean,Uruguay
UZB,UZB,Republic of Uzbekistan,Lower middle income,Europe & Central Asia,Uzbekistan
VUT,VUT,Republic of Vanuatu,Lower middle income,East Asia & Pacific,Vanuatu
VEN,VEN,Repœblica Bolivariana de Venezuela,High income: nonOECD,Latin America & Caribbean,Venezuela
VNM,VNM,Socialist Republic of Vietnam,Lower middle income,East Asia & Pacific,Vietnam
VIR,VIR,Virgin Islands of the United States,High income: nonOECD,Latin America & Caribbean,Virgin Islands
WBG,WBG,West Bank and Gaza,Lower middle income,Middle East & North Africa,West Bank and Gaza
YEM,YEM,Republic of Yemen,Lower middle income,Middle East & North Africa,Yemen
ZMB,ZMB,Republic of Zambia,Lower middle income,Sub-Saharan Africa,Zambia
ZWE,ZWE,Republic of Zimbabwe,Low income,Sub-Saharan Africa,Zimbabwe
ARB,ARB,Arab World,,,Arab World
