Code,LongName,IncomeGroup,Region,ShortName
GMB,Republic of The Gambia,Low income,Sub-Saharan Africa,The Gambia
GEO,Georgia,Lower middle income,Europe & Central Asia,Georgia
DEU,Federal Republic of Germany,High income: OECD,Europe & Central Asia,Germany
GHA,Republic of Ghana,Lower middle income,Sub-Saharan Africa,Ghana
GRC,Hellenic Republic,High income: OECD,Europe & Central Asia,Greece
GRL,Greenland,High income: nonOECD,Europe & Central Asia,Greenland
GRD,Grenada,Upper middle income,Latin America & Caribbean,Grenada
GUM,Guam,High income: nonOECD,East Asia & Pacific,Guam
GTM,Republic of Guatemala,Lower middle income,Latin America & Caribbean,Guatemala
GIN,Republic of Guinea,Low income,Sub-Saharan Africa,Guinea
GNB,Republic of Guinea-Bissau,Low income,Sub-Saharan Africa,Guinea-Bissau
GUY,Co-operative Republic of Guyana,Lower middle income,Latin America & Caribbean,Guyana
HTI,Republic of Haiti,Low income,Latin America & Caribbean,Haiti
HND,Republic of Honduras,Lower middle income,Latin America & Caribbean,Honduras
HKG,Hong Kong Special Administrative Region of the People's Republic of China,High income: nonOECD,East Asia & Pacific,"Hong Kong SAR, China"
HUN,Hungary,High income: OECD,Europe & Central Asia,Hungary
ISL,Republic of Iceland,High income: OECD,Europe & Central Asia,Iceland
IND,Republic of India,Lower middle income,South Asia,India
IDN,Republic of Indonesia,Lower middle income,East Asia & Pacific,Indonesia
IRN,Islamic Republic of Iran,Upper middle income,Middle East & North Africa,Iran
IRQ,Republic of Iraq,Upper middle income,Middle East & North Africa,Iraq
IRL,Ireland,High income: OECD,Europe & Central Asia,Ireland
IMY,Isle of Man,High income: nonOECD,Europe & Central Asia,Isle of Man
ISR,State of Israel,High income: OECD,Middle East & North Africa,Israel
ITA,Italian Republic,High income: OECD,Europe & Central Asia,Italy
JAM,Jamaica,Upper middle income,Latin America & Caribbean,Jamaica
JPN,Japan,High income: OECD,East Asia & Pacific,Japan
JOR,Hashemite Kingdom of Jordan,Upper middle income,Middle East & North Africa,Jordan
KAZ,Republic of Kazakhstan,Upper middle income,Europe & Central Asia,Kazakhstan
KEN,Republic of Kenya,Lower middle income,Sub-Saharan Africa,Kenya
KIR,Republic of Kiribati,Lower middle income,East Asia & Pacific,Kiribati
PRK,Democratic People's Republic of Korea,Low income,East Asia & Pacific,Dem. People's Rep. Korea
KOR,Republic of Korea,High income: OECD,East Asia & Pacific,Korea
KSV,Republic of Kosovo,Lower middle income,Europe & Central Asia,Kosovo
KWT,State of Kuwait,High income: nonOECD,Middle East & North Africa,Kuwait
KGZ,Kyrgyz Republic,Lower middle income,Europe & Central Asia,Kyrgyz Republic
LAO,Lao People's Democratic Republic,Lower middle income,East Asia & Pacific,Lao PDR
LVA,Republic of Latvia,High income: nonOECD,Europe & Central Asia,Latvia
LBN,Lebanese Republic,Upper middle income,Middle East & North Africa,Lebanon
LSO,Kingdom of Lesotho,Lower middle income,Sub-Saharan Africa,Lesotho
LBR,Republic of Liberia,Low income,Sub-Saharan Africa,Liberia
LBY,Socialist People's Libyan Arab Jamahiriya,Upper middle income,Middle East & North Africa,Libya
LIE,Principality of Liechtenstein,High income: nonOECD,Europe & Central Asia,Liechtenstein
LTU,Republic of Lithuania,High income: nonOECD,Europe & Central Asia,Lithuania
LUX,Grand Duchy of Luxembourg,High income: OECD,Europe & Central Asia,Luxembourg
MAC,Macao Special Administrative Region of the People's Republic of China,High income: nonOECD,East Asia & Pacific,"Macao SAR, China"
MKD,Former Yugoslav Republic of Macedonia,Upper middle income,Europe & Central Asia,Macedonia
MDG,Republic of Madagascar,Low income,Sub-Saharan Africa,Madagascar
MWI,Republic of Malawi,Low income,Sub-Saharan Africa,Malawi
MYS,Malaysia,Upper middle income,East Asia & Pacific,Malaysia
MDV,Republic of Maldives,Upper middle income,South Asia,Maldives
MLI,Republic of Mali,Low income,Sub-Saharan Africa,Mali
MLT,Republic of Malta,High income: nonOECD,Middle East & North Africa,Malta
MHL,Republic of the Marshall Islands,Upper middle income,East Asia & Pacific,Marshall Islands
MRT,Islamic Republic of Mauritania,Lower middle income,Sub-Saharan Africa,Mauritania
MUS,Republic of Mauritius,Upper middle income,Sub-Saharan Africa,Mauritius
MEX,United Mexican States,Upper middle income,Latin America & Caribbean,Mexico
FSM,Federated States of Micronesia,Lower middle income,East Asia & Pacific,Micronesia
MDA,Republic of Moldova,Lower middle income,Europe & Central Asia,Moldova
MCO,Principality of Monaco,High income: nonOECD,Europe & Central Asia,Monaco
MNG,Mongolia,Upper middle income,East Asia & Pacific,Mongolia
MNE,Montenegro,Upper middle income,Europe & Central Asia,Montenegro
MAR,Kingdom of Morocco,Lower middle income,Middle East & North Africa,Morocco
MOZ,Republic of Mozambique,Low income,Sub-Saharan Africa,Mozambique
MMR,Republic of the Union of Myanmar,Lower middle income,East Asia & Pacific,Myanmar
NAM,Republic of Namibia,Upper middle income,Sub-Saharan Africa,Namibia
NPL,Nepal,Low income,South Asia,Nepal
NLD,Kingdom of the Netherlands,High income: OECD,Europe & Central Asia,Netherlands
NCL,New Caledonia,High income: nonOECD,East Asia & Pacific,New Caledonia
NZL,New Zealand,High income: OECD,East Asia & Pacific,New Zealand
NIC,Republic of Nicaragua,Lower middle income,Latin America & Caribbean,Nicaragua
NER,Republic of Niger,Low income,Sub-Saharan Africa,Niger
NGA,Federal Republic of Nigeria,Lower middle income,Sub-Saharan Africa,Nigeria
MNP,Commonwealth of the Northern Mariana Islands,High income: nonOECD,East Asia & Pacific,Northern Mariana Islands
NOR,Kingdom of Norway,High income: OECD,Europe & Central Asia,Norway
OMN,Sultanate of Oman,High income: nonOECD,Middle East & North Africa,Oman
PAK,Islamic Republic of Pakistan,Lower middle income,South Asia,Pakistan
PLW,Republic of Palau,Upper middle income,East Asia & Pacific,Palau
PAN,Republic of Panama,Upper middle income,Latin America & Caribbean,Panama
PNG,The Independent State of Papua New Guinea,Lower middle income,East Asia & Pacific,Papua New Guinea
PRY,Republic of Paraguay,Upper middle income,Latin America & Caribbean,Paraguay
PER,Republic of Peru,Upper middle income,Latin America & Caribbean,Peru
PHL,Republic of the Philippines,Lower middle income,East Asia & Pacific,Philippines
POL,Republic of Poland,High income: OECD,Europe & Central Asia,Poland
PRT,Portuguese Republic,High income: OECD,Europe & Central Asia,Portugal
PRI,Puerto Rico,High income: nonOECD,Latin America & Caribbean,Puerto Rico
QAT,State of Qatar,High income: nonOECD,Middle East & North Africa,Qatar
ROM,Romania,Upper middle income,Europe & Central Asia,Romania
RUS,Russian Federation,High income: nonOECD,Europe & Central Asia,Russia
RWA,Republic of Rwanda,Low income,Sub-Saharan Africa,Rwanda
WSM,Samoa,Lower middle income,East Asia & Pacific,Samoa
SMR,Republic of San Marino,High income: nonOECD,Europe & Central Asia,San Marino
STP,Democratic Republic of São Tomé and Principe,Lower middle income,Sub-Saharan Africa,São Tomé and Principe
SAU,Kingdom of Saudi Arabia,High income: nonOECD,Middle East & North Africa,Saudi Arabia
SEN,Republic of Senegal,Lower middle income,Sub-Saharan Africa,Senegal
SRB,Republic of Serbia,Upper middle income,Europe & Central Asia,Serbia
SYC,Republic of Seychelles,High income: nonOECD,Sub-Saharan Africa,Seychelles
SLE,Republic of Sierra Leone,Low income,Sub-Saharan Africa,Sierra Leone
SGP,Republic of Singapore,High income: nonOECD,East Asia & Pacific,Singapore
SXM,Sint Maarten (Dutch part),High income: nonOECD,Latin America & Caribbean,Sint Maarten (Dutch part)
SVK,Slovak Republic,High income: OECD,Europe & Central Asia,Slovak Republic
SVN,Republic of Slovenia,High income: OECD,Europe & Central Asia,Slovenia
SLB,Solomon Islands,Lower middle income,East Asia & Pacific,Solomon Islands
SOM,Somali Democratic Republic,Low income,Sub-Saharan Africa,Somalia
ZAF,Republic of South Africa,Upper middle income,Sub-Saharan Africa,South Africa
SSD,Republic of South Sudan,Low income,Sub-Saharan Africa,South Sudan
ESP,Kingdom of Spain,High income: OECD,Europe & Central Asia,Spain
LKA,Democratic Socialist Republic of Sri Lanka,Lower middle income,South Asia,Sri Lanka
KNA,St. Kitts and Nevis,High income: nonOECD,Latin America & Caribbean,St. Kitts and Nevis
LCA,St. Lucia,Upper middle income,Latin America & Caribbean,St. Lucia
MAF,St. Martin (French part),High income: nonOECD,Latin America & Caribbean,St. Martin (French part)
VCT,St. Vincent and the Grenadines,Upper middle income,Latin America & Caribbean,St. Vincent and the Grenadines
SDN,Republic of the Sudan,Lower middle income,Sub-Saharan Africa,Sudan
SUR,Republic of Suriname,Upper middle income,Latin America & Caribbean,Suriname
SWZ,Kingdom of Swaziland,Lower middle income,Sub-Saharan Africa,Swaziland
SWE,Kingdom of Sweden,High income: OECD,Europe & Central Asia,Sweden
CHE,Switzerland,High income: OECD,Europe & Central Asia,Switzerland
SYR,Syrian Arab Republic,Lower middle income,Middle East & North Africa,Syrian Arab Republic
TWN,"Taiwan, China",High income: nonOECD,East Asia & Pacific,"Taiwan, China"
TJK,Republic of Tajikistan,Lower middle income,Europe & Central Asia,Tajikistan
TZA,United Republic of Tanzania,Low income,Sub-Saharan Africa,Tanzania
THA,Kingdom of Thailand,Upper middle income,East Asia & Pacific,Thailand
TMP,Democratic Republic of Timor-Leste,Lower middle income,East Asia & Pacific,Timor-Leste
TGO,Republic of Togo,Low income,Sub-Saharan Africa,Togo
TON,Kingdom of Tonga,Upper middle income,East Asia & Pacific,Tonga
TTO,Republic of Trinidad and Tobago,High income: nonOECD,Latin America & Caribbean,Trinidad and Tobago
TUN,Republic of Tunisia,Upper middle income,Middle East & North Africa,Tunisia
TUR,Republic of Turkey,Upper middle income,Europe & Central Asia,Turkey
TKM,Turkmenistan,Upper middle income,Europe & Central Asia,Turkmenistan
TCA,Turks and Caicos Islands,High income: nonOECD,Latin America & Caribbean,Turks and Caicos Islands
TUV,Tuvalu,Upper middle income,East Asia & Pacific,Tuvalu
UGA,Republic of Uganda,Low income,Sub-Saharan Africa,Uganda
UKR,Ukraine,Lower middle income,Europe & Central Asia,Ukraine
ARE,United Arab Emirates,High income: nonOECD,Middle East & North Africa,United Arab Emirates
GBR,United Kingdom of Great Britain and Northern Ireland,High income: OECD,Europe & Central Asia,United Kingdom
USA,United States of America,High income: OECD,North America,United States
URY,Oriental Republic of Uruguay,High income: nonOECD,Latin America & Caribbean,Uruguay
UZB,Republic of Uzbekistan,Lower middle income,Europe & Central Asia,Uzbekistan
VUT,Republic of Vanuatu,Lower middle income,East Asia & Pacific,Vanuatu
VEN,República Bolivariana de Venezuela,High income: nonOECD,Latin America & Caribbean,Venezuela
VNM,Socialist Republic of Vietnam,Lower middle income,East Asia & Pacific,Vietnam
VIR,Virgin Islands of the United States,High income: nonOECD,Latin America & Caribbean,Virgin Islands
WBG,West Bank and Gaza,Lower middle income,Middle East & North Africa,West Bank and Gaza
YEM,Republic of Yemen,Lower middle income,Middle East & North Africa,Yemen
ZMB,Republic of Zambia,Lower middle income,Sub-Saharan Africa,Zambia
ZWE,Republic of Zimbabwe,Low income,Sub-Saharan Africa,Zimbabwe
ARB,Arab World,,,Arab World
