CountryCode,RegionCode,RegionName
FIN,ECS,Europe &amp; Central Asia (all income levels)
FRA,ECS,Europe &amp; Central Asia (all income levels)
PYF,EAS,East Asia &amp; Pacific (all income levels)
GAB,SSF,Sub-Saharan Africa (all income levels)
GMB,SSF,Sub-Saharan Africa (all income levels)
GEO,ECS,Europe &amp; Central Asia (all income levels)
DEU,ECS,Europe &amp; Central Asia (all income levels)
GHA,SSF,Sub-Saharan Africa (all income levels)
GRC,ECS,Europe &amp; Central Asia (all income levels)
GRD,LCN,Latin America &amp; Caribbean (all income levels)
GUM,EAS,East Asia &amp; Pacific (all income levels)
GTM,LCN,Latin America &amp; Caribbean (all income levels)
GIN,SSF,Sub-Saharan Africa (all income levels)
GNB,SSF,Sub-Saharan Africa (all income levels)
GUY,LCN,Latin America &amp; Caribbean (all income levels)
HTI,LCN,Latin America &amp; Caribbean (all income levels)
HND,LCN,Latin America &amp; Caribbean (all income levels)
HKG,EAS,East Asia &amp; Pacific (all income levels)
HUN,ECS,Europe &amp; Central Asia (all income levels)
ISL,ECS,Europe &amp; Central Asia (all income levels)
IND,SAS,South Asia
IDN,EAS,East Asia &amp; Pacific (all income levels)
IRN,MEA,Middle East &amp; North Africa (all income levels)
IRQ,MEA,Middle East &amp; North Africa (all income levels)
IRL,ECS,Europe &amp; Central Asia (all income levels)
ISR,MEA,Middle East &amp; North Africa (all income levels)
ITA,ECS,Europe &amp; Central Asia (all income levels)
JAM,LCN,Latin America &amp; Caribbean (all income levels)
JPN,EAS,East Asia &amp; Pacific (all income levels)
JOR,MEA,Middle East &amp; North Africa (all income levels)
KAZ,ECS,Europe &amp; Central Asia (all income levels)
KEN,SSF,Sub-Saharan Africa (all income levels)
PRK,EAS,East Asia &amp; Pacific (all income levels)
KOR,EAS,East Asia &amp; Pacific (all income levels)
KSV,ECS,Europe &amp; Central Asia (all income levels)
KWT,MEA,Middle East &amp; North Africa (all income levels)
KGZ,ECS,Europe &amp; Central Asia (all income levels)
LAO,EAS,East Asia &amp; Pacific (all income levels)
LVA,ECS,Europe &amp; Central Asia (all income levels)
LBN,MEA,Middle East &amp; North Africa (all income levels)
LSO,SSF,Sub-Saharan Africa (all income levels)
LBR,SSF,Sub-Saharan Africa (all income levels)
LBY,MEA,Middle East &amp; North Africa (all income levels)
LTU,ECS,Europe &amp; Central Asia (all income levels)
LUX,ECS,Europe &amp; Central Asia (all income levels)
MAC,EAS,East Asia &amp; Pacific (all income levels)
MKD,ECS,Europe &amp; Central Asia (all income levels)
MDG,SSF,Sub-Saharan Africa (all income levels)
MWI,SSF,Sub-Saharan Africa (all income levels)
MYS,EAS,East Asia &amp; Pacific (all income levels)
MDV,SAS,South Asia
MLI,SSF,Sub-Saharan Africa (all income levels)
MLT,MEA,Middle East &amp; North Africa (all income levels)
MRT,SSF,Sub-Saharan Africa (all income levels)
MUS,SSF,Sub-Saharan Africa (all income levels)
MYT,SSF,Sub-Saharan Africa (all income levels)
MEX,LCN,Latin America &amp; Caribbean (all income levels)
FSM,EAS,East Asia &amp; Pacific (all income levels)
MDA,ECS,Europe &amp; Central Asia (all income levels)
MNG,EAS,East Asia &amp; Pacific (all income levels)
MNE,ECS,Europe &amp; Central Asia (all income levels)
MAR,MEA,Middle East &amp; North Africa (all income levels)
MOZ,SSF,Sub-Saharan Africa (all income levels)
MMR,EAS,East Asia &amp; Pacific (all income levels)
NAM,SSF,Sub-Saharan Africa (all income levels)
NPL,SAS,South Asia
NLD,ECS,Europe &amp; Central Asia (all income levels)
NCL,EAS,East Asia &amp; Pacific (all income levels)
NZL,EAS,East Asia &amp; Pacific (all income levels)
NIC,LCN,Latin America &amp; Caribbean (all income levels)
NER,SSF,Sub-Saharan Africa (all income levels)
NGA,SSF,Sub-Saharan Africa (all income levels)
NOR,ECS,Europe &amp; Central Asia (all income levels)
OMN,MEA,Middle East &amp; North Africa (all income levels)
PAK,SAS,South Asia
PAN,LCN,Latin America &amp; Caribbean (all income levels)
PNG,EAS,East Asia &amp; Pacific (all income levels)
PRY,LCN,Latin America &amp; Caribbean (all income levels)
PER,LCN,Latin America &amp; Caribbean (all income levels)
PHL,EAS,East Asia &amp; Pacific (all income levels)
POL,ECS,Europe &amp; Central Asia (all income levels)
PRT,ECS,Europe &amp; Central Asia (all income levels)
PRI,LCN,Latin America &amp; Caribbean (all income levels)
QAT,MEA,Middle East &amp; North Africa (all income levels)
ROU,ECS,Europe &amp; Central Asia (all income levels)
RUS,ECS,Europe &amp; Central Asia (all income levels)
RWA,SSF,Sub-Saharan Africa (all income levels)
WSM,EAS,East Asia &amp; Pacific (all income levels)
SMR,ECS,Europe &amp; Central Asia (all income levels)
STP,SSF,Sub-Saharan Africa (all income levels)
SAU,MEA,Middle East &amp; North Africa (all income levels)
SEN,SSF,Sub-Saharan Africa (all income levels)
SRB,ECS,Europe &amp; Central Asia (all income levels)
SYC,SSF,Sub-Saharan Africa (all income levels)
SLE,SSF,Sub-Saharan Africa (all income levels)
SGP,EAS,East Asia &amp; Pacific (all income levels)
SVK,ECS,Europe &amp; Central Asia (all income levels)
SVN,ECS,Europe &amp; Central Asia (all income levels)
SLB,EAS,East Asia &amp; Pacific (all income levels)
SOM,SSF,Sub-Saharan Africa (all income levels)
ZAF,SSF,Sub-Saharan Africa (all income levels)
ESP,ECS,Europe &amp; Central Asia (all income levels)
LKA,SAS,South Asia
LCA,LCN,Latin America &amp; Caribbean (all income levels)
VCT,LCN,Latin America &amp; Caribbean (all income levels)
SDN,SSF,Sub-Saharan Africa (all income levels)
SUR,LCN,Latin America &amp; Caribbean (all income levels)
SWZ,SSF,Sub-Saharan Africa (all income levels)
SWE,ECS,Europe &amp; Central Asia (all income levels)
CHE,ECS,Europe &amp; Central Asia (all income levels)
SYR,MEA,Middle East &amp; North Africa (all income levels)
TJK,ECS,Europe &amp; Central Asia (all income levels)
TZA,SSF,Sub-Saharan Africa (all income levels)
THA,EAS,East Asia &amp; Pacific (all income levels)
TLS,EAS,East Asia &amp; Pacific (all income levels)
TGO,SSF,Sub-Saharan Africa (all income levels)
TON,EAS,East Asia &amp; Pacific (all income levels)
TTO,LCN,Latin America &amp; Caribbean (all income levels)
TUN,MEA,Middle East &amp; North Africa (all income levels)
TUR,ECS,Europe &amp; Central Asia (all income levels)
TKM,ECS,Europe &amp; Central Asia (all income levels)
UGA,SSF,Sub-Saharan Africa (all income levels)
UKR,ECS,Europe &amp; Central Asia (all income levels)
ARE,MEA,Middle East &amp; North Africa (all income levels)
GBR,ECS,Europe &amp; Central Asia (all income levels)
USA,NAC,North America
URY,LCN,Latin America &amp; Caribbean (all income levels)
UZB,ECS,Europe &amp; Central Asia (all income levels)
VUT,EAS,East Asia &amp; Pacific (all income levels)
VEN,LCN,Latin America &amp; Caribbean (all income levels)
VNM,EAS,East Asia &amp; Pacific (all income levels)
VIR,LCN,Latin America &amp; Caribbean (all income levels)
PSE,MEA,Middle East &amp; North Africa (all income levels)
YEM,MEA,Middle East &amp; North Africa (all income levels)
ZMB,SSF,Sub-Saharan Africa (all income levels)
ZWE,SSF,Sub-Saharan Africa (all income levels)
