Country,Meningitis_encephalitis,Respiratory_infections,Sepsis,Pertussis,Malaria,Measles,Congenital_anomalies,HIV_AIDS,Diarrhoeal_diseases,Asphyxia_trauma
Cabo Verde,0.026845638,0.255033557,0.093959732,0.013422819,0,0,0.322147651,0.053691275,0.100671141,0.134228188
Canada,0.020452099,0.052744887,0.075349839,0.003229279,0,0,0.611410118,0,0.009687836,0.227125942
Chile,0.013487476,0.11849711,0.061657033,0.006743738,0,0,0.713872832,0.003853565,0.004816956,0.077071291
Costa Rica,0.033492823,0.038277512,0.028708134,0.014354067,0,0,0.720095694,0,0.011961722,0.153110048
Croatia,0.086419753,0.037037037,0.086419753,0,0,0,0.62962963,0,0,0.160493827
Cuba,0.049132948,0.199421965,0.121387283,0,0,0,0.401734104,0,0.023121387,0.205202312
Cyprus,0,0.041666667,0.041666667,0.041666667,0,0,0.708333333,0,0,0.166666667
Czech Republic,0.03271028,0.098130841,0.135514019,0,0,0,0.490654206,0,0.018691589,0.224299065
Denmark,0.016129032,0.032258065,0.016129032,0,0,0,0.677419355,0,0.048387097,0.209677419
Dominica,0,0.1,0.2,0,0,0,0.1,0,0,0.6
Ecuador,0.038817006,0.225772379,0.086348033,0.015579614,0,0,0.417480856,0.001848429,0.076841827,0.137311856
El Salvador,0.033649698,0.230371009,0.06557377,0.021570319,0,0,0.399482312,0.035375324,0.091458154,0.122519413
Estonia,0.08,0.12,0.2,0,0,0,0.44,0,0,0.16
Fiji,0.062222222,0.244444444,0.097777778,0.013333333,0,0,0.364444444,0,0.084444444,0.133333333
Finland,0.028571429,0.114285714,0.057142857,0,0,0,0.671428571,0,0,0.128571429
France,0.035807292,0.045572917,0.065755208,0.001953125,0,0,0.573567708,0.001953125,0.026692708,0.248697917
Georgia,0.023017903,0.140664962,0.140664962,0.012787724,0,0,0.501278772,0.00511509,0.010230179,0.166240409
Germany,0.010797342,0.045681063,0.049833887,0.000830565,0,0,0.730066445,0,0.009136213,0.153654485
Greece,0.011406844,0.041825095,0,0,0,0,0.840304183,0,0,0.106463878
Grenada,0,0,0.181818182,0,0,0,0.454545455,0,0,0.363636364
Guatemala,0.020355132,0.278042443,0.137180598,0.009744478,0,0,0.188501516,0.022845388,0.117583369,0.225747077
Hungary,0.026415094,0.109433962,0.056603774,0,0,0,0.664150943,0,0.00754717,0.135849057
Iceland,0,0,0,0,0,0,1,0,0,0
Ireland,0.01986755,0.046357616,0.013245033,0,0,0,0.774834437,0,0.006622517,0.139072848
Israel,0.032142857,0.032142857,0.05,0,0,0,0.789285714,0,0.007142857,0.089285714
Italy,0.01774398,0.02661597,0.093789607,0,0,0,0.62991128,0.001267427,0.001267427,0.229404309
Jamaica,0.022573363,0.155756208,0.128668172,0.020316027,0,0,0.433408578,0.0248307,0.045146727,0.169300226
Japan,0.014534884,0.118604651,0.038372093,0,0,0,0.712209302,0,0.035465116,0.080813953
Kazakhstan,0.009794629,0.223064771,0.103633491,0.018957346,0,0,0.350078989,0.002843602,0.073933649,0.217693523
Kiribati,0.036144578,0.313253012,0.096385542,0,0,0,0.156626506,0,0.180722892,0.21686747
Kuwait,0.029154519,0.148688047,0.020408163,0,0,0,0.743440233,0,0.005830904,0.052478134
Kyrgyzstan,0.012987013,0.226600985,0.122257053,0.012539185,0,0,0.303627407,0.000447828,0.085087326,0.236453202
Latvia,0.007633588,0.022900763,0.099236641,0,0,0,0.419847328,0,0,0.450381679
Lebanon,0.010135135,0.138513514,0.084459459,0.023648649,0,0,0.466216216,0.023648649,0.040540541,0.212837838
Libya,0.01242236,0.144927536,0.090062112,0.023809524,0,0,0.522774327,0,0.032091097,0.173913043
Lithuania,0.03960396,0.059405941,0.178217822,0,0,0,0.554455446,0,0.00990099,0.158415842
Luxembourg,0.2,0,0.2,0,0,0,0.4,0,0,0.2
Maldives,0.023255814,0.139534884,0.069767442,0.023255814,0,0,0.558139535,0,0.023255814,0.162790698
Malta,0.142857143,0,0,0,0,0,0.785714286,0,0,0.071428571
Marshall Islands,0.034482759,0.344827586,0.103448276,0,0,0,0.206896552,0,0.137931034,0.172413793
Mauritius,0.018348624,0.183486239,0.119266055,0,0,0,0.541284404,0.009174312,0.027522936,0.100917431
Mexico,0.017794836,0.217085369,0.120260526,0.001628286,0,0,0.468655501,0.004419632,0.050883926,0.119271924
Micronesia,0.020408163,0.326530612,0.102040816,0,0,0,0.204081633,0,0.142857143,0.204081633
Mongolia,0.019917012,0.27966805,0.08879668,0.009958506,0,0,0.271369295,0.002489627,0.128630705,0.199170124
Montenegro,0,0.090909091,0.045454545,0,0,0,0.136363636,0,0,0.727272727
Morocco,0.014011417,0.221217288,0.16250278,0.010971903,0,0,0.248869449,0.002298169,0.095188672,0.244940322
Netherlands,0.044502618,0.036649215,0.091623037,0,0,0,0.612565445,0,0.002617801,0.212041885
New Zealand,0.01875,0.13125,0.05625,0,0,0,0.54375,0,0.05,0.2
Nicaragua,0.029936975,0.263130252,0.074579832,0.013130252,0,0,0.324054622,0.020483193,0.112920168,0.161764706
Norway,0.02247191,0.04494382,0.02247191,0,0,0,0.707865169,0,0.011235955,0.191011236
Oman,0.010799136,0.11663067,0.058315335,0.032397408,0,0,0.539956803,0.006479482,0.023758099,0.211663067
Palau,0,0,0,0,0,0,1,0,0,0
Panama,0.021454112,0.219308701,0.117997616,0.021454112,0,0,0.376638856,0.003575685,0.154946365,0.084624553
Paraguay,0.025566811,0.199228172,0.119150989,0.082006753,0,0,0.344428365,0.008200675,0.089242644,0.132175591
Poland,0.016363636,0.079090909,0.066363636,0,0,0,0.721818182,0.000909091,0.005454545,0.11
Portugal,0.019354839,0.064516129,0.096774194,0,0,0,0.651612903,0,0,0.167741935
South Korea,0.050147493,0.079646018,0.067846608,0,0,0,0.628318584,0,0.022123894,0.151917404
Moldova,0.034229829,0.281173594,0.058679707,0,0,0,0.547677262,0.004889976,0.014669927,0.058679707
Romania,0.020612117,0.45971268,0.018113679,0,0,0,0.407245472,0.001873829,0.012492192,0.079950031
Russia,0.035391314,0.145919393,0.066205203,0.017863124,0,0,0.567712404,0.025120018,0.014737077,0.127051468
Saint Kitts and Nevis,0,0,0.2,0,0,0,0.2,0,0,0.6
Saint Lucia,0,0.380952381,0,0,0,0,0.619047619,0,0,0
Saint Vincent and the Grenadines,0,0.1,0.1,0,0,0,0.4,0,0,0.4
Saudi Arabia,0.014044944,0.138342697,0.077013109,0.023876404,0,0,0.502808989,0,0.034644195,0.209269663
Serbia,0.019762846,0.130434783,0.04743083,0,0,0,0.529644269,0.003952569,0,0.268774704
Seychelles,0,0.1,0.2,0,0,0,0.5,0,0,0.2
Singapore,0.028571429,0.185714286,0.014285714,0,0,0,0.571428571,0,0.028571429,0.171428571
Slovakia,0.029850746,0.154228856,0.029850746,0,0,0,0.651741294,0,0.009950249,0.124378109
Slovenia,0,0.076923077,0.230769231,0,0,0,0.538461538,0,0,0.153846154
Spain,0.027700831,0.035087719,0.127423823,0.010156971,0,0,0.597414589,0.000923361,0.003693444,0.197599261
Sri Lanka,0.015041494,0.12033195,0.071576763,0.018153527,0,0,0.566390041,0.003112033,0.037344398,0.168049793
Suriname,0.052631579,0.166666667,0.175438596,0,0,0,0.315789474,0.078947368,0.01754386,0.192982456
Sweden,0.012195122,0.079268293,0.091463415,0.006097561,0,0,0.609756098,0,0.006097561,0.195121951
Switzerland,0.012345679,0.024691358,0.074074074,0,0,0,0.654320988,0.00617284,0.00617284,0.222222222
Macedonia,0.153846154,0.153846154,0.057692308,0,0,0,0.423076923,0,0.019230769,0.192307692
Tonga,0.055555556,0.166666667,0.111111111,0,0,0,0.5,0,0.055555556,0.111111111
Trinidad and Tobago,0.020100503,0.155778894,0.085427136,0,0,0,0.527638191,0.015075377,0.010050251,0.185929648
Tunisia,0.011198946,0.164031621,0.083003953,0.011857708,0,0,0.46113307,0.001317523,0.046113307,0.221343874
Turkey,0.041083985,0.185193964,0.10010271,0.018961839,0,0,0.453582998,0.000711069,0.019119855,0.181243581
Turkmenistan,0.029768786,0.289306358,0.096820809,0.005491329,0,0,0.199421965,0,0.162427746,0.216763006
Tuvalu,0,0.333333333,0,0,0,0,0.333333333,0,0,0.333333333
United Arab Emirates,0.010791367,0.079136691,0.04676259,0.025179856,0,0,0.625899281,0,0.014388489,0.197841727
United Kingdom,0.037868163,0.097475456,0.031556802,0.001402525,0,0,0.662692847,0.000701262,0.000701262,0.167601683
Uruguay,0.044303797,0.215189873,0.17721519,0,0,0,0.462025316,0,0.022151899,0.079113924
Australia,0.022887324,0.054577465,0.029929577,0.003521127,0.001760563,0,0.625,0,0.003521127,0.258802817
Dominican Republic,0.015794092,0.2260895,0.132787365,0.012576777,0.000292483,0,0.293653115,0.01199181,0.088037438,0.21877742
Honduras,0.025048924,0.225440313,0.12446184,0.016046967,0.000391389,0,0.304500978,0.02074364,0.112328767,0.171037182
United States of America,0.017184943,0.074286234,0.065375523,0.002636843,9.09256E-05,0,0.67012184,0.000272777,0.048917985,0.12111293
Vanuatu,0.03030303,0.181818182,0.075757576,0.090909091,0.03030303,0,0.333333333,0,0.090909091,0.166666667
Malaysia,0.035095321,0.132582322,0.05762565,0.042461005,0.001299827,0,0.510831889,0.01169844,0.035528596,0.17287695
Nepal,0.02014218,0.248000592,0.173430095,0.046504739,0.000222156,0,0.148326422,0.005702014,0.115077014,0.242594787
Peru,0.033863034,0.200340522,0.079833523,0.020998865,0.000756716,0,0.416950435,0.013810064,0.082860386,0.150586455
Solomon Islands,0.021538462,0.28,0.110769231,0.052307692,0.024615385,0,0.193846154,0,0.116923077,0.2
Venezuela,0.021458375,0.18319094,0.152791576,0.004172462,0.003179018,0,0.390820584,0.006755414,0.082455792,0.155175839
Colombia,0.020647111,0.17638172,0.145914642,0.001636661,0.002392043,0,0.450585421,0.002643837,0.035251165,0.1645474
Brazil,0.028654097,0.140703752,0.167397797,0.000700019,0.001540041,0,0.412404331,0.003500093,0.036960986,0.208138884
Guyana,0.018796992,0.116541353,0.127819549,0,0.176691729,0,0.184210526,0.022556391,0.105263158,0.248120301
Lao,0.038085005,0.304680038,0.117359121,0.027578797,0.010148042,0,0.092287488,0.004178606,0.180276982,0.225405922
Timor,0.030323915,0.281185389,0.126809097,0.033769814,0.059958649,0,0.095796003,0,0.147484493,0.22467264
Haiti,0.045797727,0.318924749,0.097652037,0.029702149,0.008711524,0,0.110014104,0.015846677,0.191570563,0.18178047
Comoros,0.028700906,0.224320242,0.114048338,0.018882175,0.217522659,0,0.070996979,0.01510574,0.129154079,0.181268882
Equatorial Guinea,0.043778802,0.216013825,0.081221198,0.020737327,0.211981567,0,0.052419355,0.103110599,0.113479263,0.157258065
Papua New Guinea,0.031617301,0.25364363,0.100023507,0.026680771,0.16690174,0,0.085448989,0.012458862,0.131523272,0.191701928
Congo,0.015471167,0.152777778,0.092123769,0.0302391,0.299050633,0,0.109177215,0.077355837,0.071905767,0.151898734
Liberia,0.022644456,0.193779282,0.09903696,0.021863613,0.295809474,0,0.072358147,0.009760541,0.109578345,0.175169183
Madagascar,0.031454602,0.276509509,0.106800152,0.030657845,0.112654588,0,0.088855787,0.016420134,0.141892126,0.194755257
Central African Republic,0.047093313,0.198041417,0.056823852,0.012287924,0.340506487,0,0.031749002,0.041417166,0.12487525,0.147205589
Mozambique,0.027938745,0.194869825,0.094053206,0.017718475,0.245236385,0,0.057129974,0.09131444,0.116898515,0.154840434
Chad,0.060815839,0.245011336,0.052093249,0.013360793,0.270434918,0,0.037590211,0.027379242,0.175230612,0.118083799
